;;;;
;OCORRENCIA;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Operando;;;
OPERAÇÃO;Ausente;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
OPERAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Operando;;;
OPERAÇÃO;;;;
OPERAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Sinalização horizontal deficiente;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Desgaste;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Junta de dilatação deficiente;;;
OBRAS DE ARTE ESPECIAIS;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Quebrada;;;
SINALIZAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;Encoberto pela vegetação;;;
SINALIZAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Ausente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
PAVIMENTAÇÃO;Fixação deficiente;;;
SINALIZAÇÃO;Amassada;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;Quebrada;;;
SINALIZAÇÃO;Junta de dilatação deficiente;;;
OBRAS DE ARTE ESPECIAIS;Dispositivo de concreto danificado;;;
DRENAGEM OAC;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Quebrada;;;
SINALIZAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Quebrada;;;
SINALIZAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Fixação deficiente;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;Áreas excessivamente remendadas;;;
PAVIMENTAÇÃO;Instalações elétricas insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Iluminação insuficiente;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Iluminação insuficiente;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Instalações elétricas insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Iluminação insuficiente;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Piso insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Paredes e forros;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Tampa Danificada;;;
DRENAGEM OAC;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Instalações elétricas insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OBRAS DE ARTE ESPECIAIS;Fixação deficiente;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Pintura deficiente;;;
OBRAS DE ARTE ESPECIAIS;Fixação deficiente;;;
SINALIZAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Sujeira de roçada;;;
DRENAGEM OAC;Sujeira de roçada;;;
DRENAGEM OAC;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Amassada;;;
SINALIZAÇÃO;Amassada;;;
SINALIZAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Varrição deficiente;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Acúmulo de vegetação;;;
DRENAGEM OAC;Panela / Buraco;;;
PAVIMENTAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Acúmulo de vegetação;;;
DRENAGEM OAC;Quebrada;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Deságue deficiente;;;
DRENAGEM OAC;Equipamento inoperante;;;
OPERAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
OBRA;;;;
OBRA;;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Amassada;;;
SINALIZAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Amassada;;;
SINALIZAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
OBRA;;;;
OPERAÇÃO;;;;
OBRA;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Amassada;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
SINALIZAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
OBRA;;;;
OBRA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;Trinca tipo 'Couro de Jacaré', FC-2;;;
PAVIMENTAÇÃO;Obstruído;;;
DRENAGEM OAC;Panela / Buraco;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Trinca tipo 'Couro de Jacaré', FC-2;;;
PAVIMENTAÇÃO;Trinca longitudinal;;;
PAVIMENTAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Fixação deficiente;;;
SINALIZAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Obstruído;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Ancoragem deficiente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Dispositivo de concreto danificado;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;Altura superior a 30 cm;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Chamada não atendida;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Película deficiente;;;
SINALIZAÇÃO;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Ausente;;;
SINALIZAÇÃO;;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;;;;
OPERAÇÃO;;;;
OPERAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Suja;;;
SINALIZAÇÃO;Suja;;;
SINALIZAÇÃO;Suja;;;
SINALIZAÇÃO;Suja;;;
SINALIZAÇÃO;Suja;;;
SINALIZAÇÃO;Operando;;;
OPERAÇÃO;Ausente;;;
SINALIZAÇÃO;Tampa danificada;;;
DRENAGEM OAC;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Película deficiente;;;
SINALIZAÇÃO;Suja;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Acúmulo de vegetação;;;
DRENAGEM OAC;Capina deficiente;;;
OBRAS DE ARTE ESPECIAIS;;;;
PAVIMENTAÇÃO;Buraco;;;
INTERSEÇÕES, ACESSOS E RETORNOS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Áreas excessivamente remendadas;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Capina deficiente;;;
OBRAS DE ARTE ESPECIAIS;Capina deficiente;;;
OBRAS DE ARTE ESPECIAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Áreas excessivamente remendadas;;;
PAVIMENTAÇÃO;Operando;;;
