T24964;01/07/2022;15:15:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tarefas Código do Atendimento;Data Inicio Execucao Atividade Gerada Pelo Sistema;Hora Inicio Execucao Atividade Gerada Pelo Sistema;Hora Fim Execucao Atividade Gerada Pelo Sistema;Execução de Atendimentos GPS Coletado;Execução de Atendimentos Latitude;Execução de Atendimentos Longitude;Cliente GPS Coletado;Entregador Nome;Seção Descrição;Codigo_de_registro;Disciplina;CONCESSIONARIA__TRECHO;Concessionaria;Trecho;PISTA;SENTIDO_;km_000000_ou_000000_ao_000000;LOCAL;Coordenada_;ELEMENTO;DESCREVA_O_ELEMENTO;OCORRENCIA;OUTRAS_OCORRENCIAS;OBSERVACAO;AUDIO;RETORNO_A_OCORRENCIA;MES;A_OCORRENCIA_FOI_ATENDIDA_;Imagem_1;Imagem_2;Imagem_3;Imagem_4;Imagem_5;Imagem_6;Imagem_7;Imagem_8;Imagem_9;Imagem_10;Imagem_11;Imagem_12;ESTADO_GERAL;TEMPO_DE_FILA_APROXIMADO;Deseja_caracterizar_esse_registro_como_uma_ocorrencia_relevante;NOME_DA_OBRA;PERCENTUAL_MENSAL_DE_EXECUCAO_FISICA_;PERCENTUAL_ACUMULADO_DE_EXECUCAO_FISICA_;CUMPRIMENTO_DO_PLANO_DE_TRABALHO_ACEITO_PELA_ANTT;ATENDIMENTO_AO_PROJETO_EXECUTIVO_ACEITO_PELA_ANTT;ATENDIMENTO_AO_PER;SINALIZACAO_DE_OBRA;ATRASOS;OBRA_CONCLUIDA;COMPRIMENTO_APROXIMADO_DA_FILA_m;COORDENADA_FINAL
309500138;17/05/2022;20:17:15;20:18:28;-28.271760000000004 -48.6999416666666676;-28.271.760.000.000.000;-486.999.416.666.666.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;288+200 ao 289+200;;-28.27175666666667,-48.699935;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo e bordo direito;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394771268&token=41413e3dd2200acc84ef9da0ed5792dc;https://picviewer.umov.me/Pic/GetImage?id=394771862&token=dd7c4c9ba6ea408ed3c554f6972b036b;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500139;17/05/2022;20:18:30;20:19:55;-28.27298166666667 -48.6994433333333276;-2.827.298.166.666.660;-486.994.433.333.333.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;289+300 ao 290+000;;-28.27298166666667,-48.69944333333333;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo 1 e bordo direito;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394772366&token=355a1c8f51c83c52988d8099778e0bd3;https://picviewer.umov.me/Pic/GetImage?id=394772927&token=e3a01f95bacdc3e89dfd8fc6719905fb;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500140;17/05/2022;20:20:07;20:21:18;-28.2844283333333344 -48.7035983333333391;-282.844.283.333.333.000;-487.035.983.333.333.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;290+100 ao 290+600;;-28.284428333333334,-48.70359833333334;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo e bordo direito;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394773396&token=136a9421741b5961ef9770aac8457758;https://picviewer.umov.me/Pic/GetImage?id=394773783&token=4a7266bc2ce8962e5072c7fcd1087134;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500136;17/05/2022;20:21:55;20:23:08;-28.2925383333333293 -48.7104483333333391;-282.925.383.333.333.000;-487.104.483.333.333.000;0 0;500 - SC2;REGISTRO;304892548;SISTEMA ELÉTRICO E DE ILUMINAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;291+400 ao 291+520;;-28.292528333333333,-48.710306666666675;ILUMINAÇÃO;;Apagada?Mau funcionamento?;;;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394774169&token=0c8b7f0d3b1c6e17e5b3b3a966778242;https://picviewer.umov.me/Pic/GetImage?id=394774675&token=b92a58f9f76c11a9d0d6e3431342f31f;;;;;;;;;;;REGULAR;;NÃO;;;;;;;;;;;
309500141;17/05/2022;20:24:05;20:25:44;-28.3029999999999973 -48.7200433333333294;-283.029.999.999.999.000;-487.200.433.333.333.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;292+000 ao 293+000;;-28.293548333333334,-48.710238333333336;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo e bordo direito;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394775126&token=1f9c3bd984c67508051c3d42c8f8c12d;https://picviewer.umov.me/Pic/GetImage?id=394775371&token=0344918fce079ce8203bb5ad3136771e;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500143;17/05/2022;20:25:46;20:27:18;-28.3029283333333304 -48.7200283333333246;-283.029.283.333.333.000;-487.200.283.333.333.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;293+000 ao 293+300;;-28.302601666666668,-48.720119999999994;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo e bordo direito;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394775663&token=4a31e5e5df168191561289e7fdd8958f;https://picviewer.umov.me/Pic/GetImage?id=394776011&token=fb077557439d9a30dda80496f8243d51;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500144;17/05/2022;20:30:04;20:31:43;-28.3417399999999979 -48.7330550000000002;-283.417.399.999.999.000;-487.330.550.000.000.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;297+000 ao 297+500;;-28.341743333333337,-48.733055;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo 1, eixo 2 e bordo direito;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394776459&token=22fe23376324610e2c3d3406cc0143dd;https://picviewer.umov.me/Pic/GetImage?id=394776795&token=b67ab533958750552060da92cdcf51c7;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500145;17/05/2022;20:36:30;20:38:42;-28.386253333333336 -48.772506666666672;-28.386.253.333.333.300;-48.772.506.666.666.600;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;303+700 ao 305+000;;-28.38573166666667,-48.77219333333334;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?Danificada?;;Eixo e bordo direito;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394777225&token=3dc532f4e6dcf87465c33a05ec2220cd;https://picviewer.umov.me/Pic/GetImage?id=394777634&token=f8c847274f0dcb043089af02bf1a06d1;https://picviewer.umov.me/Pic/GetImage?id=394777982&token=ace6527a5aa210d9e7befaf8c52f1a5e;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500146;17/05/2022;20:43:32;20:45:15;-28.4408100000000026 -48.8200766666666652;-284.408.100.000.000.000;-488.200.766.666.666.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;311+000;;-28.44053333333333,-48.81529999999999;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394778339&token=4ec2b53ebbb4ab2e8d30695e16a60bb0;https://picviewer.umov.me/Pic/GetImage?id=394778762&token=7f3ace482cdae95787bde20b52109136;https://picviewer.umov.me/Pic/GetImage?id=394779154&token=9ddef38f5ae9df31aa36ff72a2861b05;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500142;17/05/2022;20:45:23;20:47:48;-28.4398383333333342 -48.8275800000000046;-284.398.383.333.333.000;-488.275.800.000.000.000;0 0;500 - SC2;REGISTRO;304892548;SISTEMA ELÉTRICO E DE ILUMINAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;312+400 ao 314+000;;-28.441121666666664,-48.82118333333333;ILUMINAÇÃO;;;;Não lançar;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394779517&token=4c2ac5582cc24749285afb33934d8b66;https://picviewer.umov.me/Pic/GetImage?id=394779891&token=809934ba0af4df293a8980e3681639cb;;;;;;;;;;;BOM;;NÃO;;;;;;;;;;;
309500148;17/05/2022;20:47:50;20:50:06;-28.4352549999999979 -48.8423933333333338;-284.352.549.999.999.000;-488.423.933.333.333.000;0 0;500 - SC2;REGISTRO;304892548;SISTEMA ELÉTRICO E DE ILUMINAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;314+000 ao 314+300;;-28.437074999999997,-48.836331666666666;ILUMINAÇÃO;;Apagada?Mau funcionamento?;;;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394780347&token=ffbba58c00a7ac06fe7e154579a5a4de;https://picviewer.umov.me/Pic/GetImage?id=394780747&token=bf8cc7f14e7dc4a7b9289d9e380e3625;https://picviewer.umov.me/Pic/GetImage?id=394781258&token=9fe8e950e511a444430774813a8cceea;https://picviewer.umov.me/Pic/GetImage?id=394781708&token=b62107081f370b7333dbfb2a1288b784;https://picviewer.umov.me/Pic/GetImage?id=394782123&token=04c9644b361be000b99a55fd24436208;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500147;17/05/2022;20:52:00;20:54:04;-28.4290233333333298 -48.869643333333336;-284.290.233.333.333.000;-48.869.643.333.333.300;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;316+800 ao 317+800;;-28.428526666666667,-48.86848499999999;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?Danificada?;Eixo e bordo direito;;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394782479&token=e2b14dfa5baaa92e7bac81f63bddd54c;https://picviewer.umov.me/Pic/GetImage?id=394782920&token=cc58979de9f402e3d6a92ff2a084e18f;https://picviewer.umov.me/Pic/GetImage?id=394783453&token=f7b318decc1caef88de9f215c7de9b64;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500151;17/05/2022;20:55:04;20:56:51;-28.4258216666666677 -48.8898083333333346;-284.258.216.666.666.000;-488.898.083.333.333.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;319+000 ao 320+000;;-28.425813333333334,-48.88978999999999;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394783903&token=fa3b0a18b241a1a2164d71d60442cb01;https://picviewer.umov.me/Pic/GetImage?id=394784350&token=ea04f90fda8ef988fd2498364b74eb06;https://picviewer.umov.me/Pic/GetImage?id=394784810&token=ed1ffad48b0db25d4fd8d5cf35ad6da1;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500152;17/05/2022;20:56:54;20:59:02;-28.42502833333333 -48.8978233333333279;-2.842.502.833.333.330;-488.978.233.333.333.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;320+000 ao 321+000;;-28.425844999999995,-48.890076666666666;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394785229&token=5826ca52d8187703889ddaaf9f432b1a;https://picviewer.umov.me/Pic/GetImage?id=394785677&token=be6cf4e8e03237ae6f90a4e44c5b0cc5;https://picviewer.umov.me/Pic/GetImage?id=394786020&token=30a2655564b1bff4693127007aa4e0d4;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500154;17/05/2022;21:03:31;21:05:46;-28.4332083333333294 -48.9566549999999978;-284.332.083.333.333.000;-489.566.549.999.999.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;326+000 ao 326+600;;-28.430175000000002,-48.951973333333335;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394786428&token=2bf4a83b99823c91eb4ee5c523d465fa;https://picviewer.umov.me/Pic/GetImage?id=394786776&token=43802f6a51c016e11614ee68df1e992c;https://picviewer.umov.me/Pic/GetImage?id=394787068&token=e377b3980c48663519ee63eeb5d45323;https://picviewer.umov.me/Pic/GetImage?id=394787472&token=462c1ac4ad63d4c76a629c2bb36cdfe2;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500155;17/05/2022;21:05:52;21:07:35;-28.441163333333332 -48.9639899999999955;-28.441.163.333.333.300;-489.639.899.999.999.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;327+000 ao 328+000;;-28.436893333333334,-48.95991166666666;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394787806&token=2db1b7a0c0ff023cbf6139229c11eca6;https://picviewer.umov.me/Pic/GetImage?id=394788156&token=792d462e10ad09ef8263bf6d05165248;https://picviewer.umov.me/Pic/GetImage?id=394788549&token=533332fe060c21ef7276d0d5f67ff10c;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500156;17/05/2022;21:09:23;21:11:14;-28.4574433333333374 -48.9840283333333275;-284.574.433.333.333.000;-489.840.283.333.333.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;330+000 ao 331+000;;-28.45561,-48.980841666666656;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394788819&token=10f9ed338cd541fad38da997c22c5553;https://picviewer.umov.me/Pic/GetImage?id=394789143&token=3dc76365d2c7abb3e04fe413ee2c797f;https://picviewer.umov.me/Pic/GetImage?id=394789392&token=826b05d4415f8f0e64330836d2ca740b;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500157;17/05/2022;21:13:01;21:14:45;-28.4673149999999993 -49.0084716666666722;-284.673.149.999.999.000;-490.084.716.666.666.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;322+700 ao 333+700;;-28.467243333333332,-49.00644666666667;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo (vários pontos);;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394789750&token=8c060a0fd09dc9620bbdcf19a1305277;https://picviewer.umov.me/Pic/GetImage?id=394790163&token=307819591743864b18394127cedfa73b;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500158;17/05/2022;21:39:19;21:41:01;-28.6018516666666685 -49.0535533333333333;-286.018.516.666.666.000;-490.535.533.333.333.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;350+000 ao 351+000;;-28.601203333333334,-49.052755;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394790530&token=e2bfb0ecbedeab06a930316c5ab4bb3e;https://picviewer.umov.me/Pic/GetImage?id=394791038&token=d9edc02802f291289dd67190260aa66e;https://picviewer.umov.me/Pic/GetImage?id=394791483&token=055a26b528c3274148c321733e3c49c8;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500159;17/05/2022;21:41:04;21:42:54;-28.6070716666666698 -49.057495000000003;-286.070.716.666.666.000;-49.057.495.000.000.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;351+000 ao 352+000;;-28.605855,-49.05580666666666;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;351+000 ao 352+000;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394791965&token=80c0ca22566365d38174c5b3d212ed7c;https://picviewer.umov.me/Pic/GetImage?id=394792413&token=e239cf80a135702321ef19810497aa5a;https://picviewer.umov.me/Pic/GetImage?id=394792757&token=b623645b916a77ec48471f6e772eee6c;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500160;17/05/2022;21:42:58;21:44:48;-28.6144333333333343 -49.0653316666666655;-286.144.333.333.333.000;-490.653.316.666.666.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;352+000 ao 353+000;;-28.617261666666664,-49.06939666666667;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo e bordo direito;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394793006&token=16b46d9df3370107e8505743d37df516;https://picviewer.umov.me/Pic/GetImage?id=394793292&token=914858a81b5b35a7a783e70c66ecd55a;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
